Time (s),Current (uA)
0.0,38283.79
0.01,40381.52
0.02,40125.65
0.03,39387.99
0.04,39451.55
0.05,36640.03
0.06,38348.11
0.07,39435.11
0.08,37955.33
0.09,48991.83
0.1,39790.5
0.11,39356.68
0.12,39284.25
0.13,39229.39
0.14,39657.79
0.15,39368.11
0.16,39031.82
0.17,41046.07
0.18,39471.66
0.19,39534.25
0.2,39556.76
0.21,39233.91
0.22,39362.44
0.23,39367.52
0.24,39236.05
0.25,40787.71
0.26,39226.97
0.27,39363.64
0.28,39327.75
0.29,39459.62
0.3,39054.46
0.31,39139.16
0.32,39648.9
0.33,40350.41
0.34,39379.45
0.35,39383.73
0.36,39292.62
0.37,26719.0
0.38,3376.76
0.39,3374.29
0.4,1573.18
0.41,1415.55
0.42,1064.48
0.43,2616.79
0.44,2585.11
0.45,14835.45
0.46,15069.56
0.47,34165.54
0.48,38529.29
0.49,38655.5
0.5,27346.59
0.51,892.75
0.52,705.09
0.53,845.93
0.54,701.17
0.55,830.84
0.56,745.51
0.57,746.28
0.58,830.25
0.59,822.56
0.6,724.0
0.61,818.93
0.62,722.94
0.63,827.39
0.64,755.96
0.65,771.05
0.66,745.55
0.67,768.75
0.68,1451.21
0.69,2712.02
0.7,2576.87
0.71,24334.11
0.72,8234.75
0.73,39303.8
0.74,38581.17
0.75,38499.41
0.76,1586.72
0.77,728.74
0.78,768.58
0.79,842.74
0.8,770.33
0.81,786.91
0.82,745.16
0.83,774.44
0.84,834.7
0.85,753.66
0.86,784.36
0.87,776.45
0.88,818.27
0.89,796.68
0.9,775.59
0.91,821.25
0.92,790.5
0.93,767.95
0.94,992.89
0.95,2673.0
0.96,2618.21
0.97,14306.5
0.98,15491.2
0.99,33725.59
1.0,38596.92
1.01,38512.61
1.02,8856.04
1.03,754.22
1.04,804.73
1.05,730.63
1.06,778.34
1.07,815.88
1.08,765.17
1.09,788.14
1.1,752.26
1.11,810.68
1.12,773.04
1.13,787.01
1.14,752.49
1.15,828.83
1.16,832.52
1.17,798.43
1.18,743.9
1.19,799.94
1.2,778.13
1.21,2354.3
1.22,2573.25
1.23,2578.44
1.24,22130.38
1.25,23627.63
1.26,38514.77
1.27,38473.12
1.28,37012.86
1.29,986.1
1.3,726.76
1.31,760.81
1.32,763.07
1.33,872.42
1.34,788.8
1.35,796.45
1.36,738.88
1.37,784.37
1.38,728.96
1.39,801.6
1.4,762.99
1.41,793.74
1.42,751.94
1.43,743.65
1.44,775.77
1.45,754.12
1.46,782.18
1.47,904.94
1.48,2763.98
1.49,2574.86
1.5,27182.46
1.51,13957.63
1.52,39803.97
1.53,38433.77
1.54,38518.95
1.55,9363.91
1.56,754.73
1.57,772.6
1.58,772.73
1.59,779.26
1.6,778.41
1.61,771.44
1.62,761.81
1.63,796.26
1.64,754.07
1.65,792.46
1.66,763.81
1.67,785.97
1.68,761.34
1.69,762.33
1.7,798.18
1.71,802.76
1.72,774.69
1.73,763.33
1.74,2613.47
1.75,2575.91
1.76,6479.73
1.77,7948.03
1.78,40649.84
1.79,38567.67
1.8,38485.6
1.81,18980.63
1.82,734.33
1.83,764.18
1.84,759.24
1.85,728.06
1.86,777.28
1.87,738.52
1.88,793.85
1.89,752.71
1.9,771.64
1.91,769.17
1.92,795.51
1.93,766.98
1.94,791.49
1.95,727.71
1.96,771.15
1.97,778.72
1.98,795.32
1.99,754.67
2.0,1793.5
2.01,2577.24
2.02,2572.41
2.03,27264.28
2.04,32725.2
2.05,38557.83
2.06,38370.14
2.07,28717.38
2.08,727.12
2.09,729.95
2.1,802.3
2.11,736.35
2.12,800.86
2.13,747.54
2.14,784.2
2.15,818.49
2.16,788.89
2.17,729.02
2.18,805.82
2.19,777.78
2.2,781.98
2.21,762.13
2.22,778.64
2.23,780.36
2.24,729.57
2.25,759.79
2.26,1371.94
2.27,2572.72
2.28,2580.01
2.29,23057.72
2.3,24483.46
2.31,39133.26
2.32,38507.6
2.33,37780.43
2.34,1386.25
2.35,689.86
2.36,802.83
2.37,792.93
2.38,732.51
2.39,750.05
2.4,831.66
2.41,738.44
2.42,750.31
2.43,732.91
2.44,758.37
2.45,762.92
2.46,789.66
2.47,796.5
2.48,718.67
2.49,809.46
2.5,774.25
2.51,757.26
2.52,752.84
2.53,2851.51
2.54,2568.08
2.55,13081.91
2.56,15113.94
2.57,39672.71
2.58,38607.8
2.59,38409.76
2.6,10349.71
2.61,755.54
2.62,765.27
2.63,730.12
2.64,759.35
2.65,769.27
2.66,770.51
2.67,755.27
2.68,801.18
2.69,763.17
2.7,750.68
2.71,834.55
2.72,711.2
2.73,808.85
2.74,725.95
2.75,808.83
2.76,838.49
2.77,759.67
